element,sp_num,obs_wl_air,unc_obs_wl,ritz_wl_air,unc_ritz_wl,intens,Aki,log_gf,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,Type
Fe,2,,,500.663093,0.000020,,3.3e-02,-9.13,D,0.10695023,2.58265947,3d64s,a 6D,3/2,3d64s,b 4P,5/2,M1
Fe,2,500.68402,0.00002,500.684045,0.000020,900,1.15e+07,-0.36,C+,10.3791615,12.8547671,3d64d,6D,7/2,3d64f,2[5],9/2,
Fe,1,500.72750,0.00008,500.72740,0.00004,5400,,,,4.10337372,6.57876498,3d74p,y 5D,4,3d74d,g 5F,5,
Fe,2,500.74494,0.00003,500.744937,0.000020,600,7.7e+06,-0.46,C+,10.3807526,12.8560572,3d64d,6D,9/2,3d64f,2[5],11/2,
Fe,2,500.77338,0.00003,500.773506,0.000020,900,1.74e+07,-0.28,C+,10.2880497,12.7632131,3d64d,e 6F,9/2,3d64f,2[3],7/2,
Fe,2,500.7811,0.0005,500.78038,0.00003,18,2.5e+05,-2.1,D,10.3791615,12.8542909,3d64d,6D,7/2,3d64f,2[3],7/2,
Fe,1,500.8639,0.0005,500.86415,0.00004,105,,,,4.55852281,7.03323823,3d64s4p,y 5P,3,3d64s5d,5F,3,
Fe,2,500.89839,0.00003,500.89846,0.00004,500,3.9e+07,-0.53,C+,10.3476866,12.8222325,3d64d,e 6F,3/2,3d64f,2[0],1/2,
Fe,2,500.9071,0.0002,500.90712,0.00003,60,1.4e+05,-2.7,D,10.3476866,12.8221898,3d64d,e 6F,3/2,3d64f,2[1],3/2,
Fe,2,501.00606,0.00004,501.006050,0.000020,310,5.4e+06,-0.69,C+,10.3807526,12.8547671,3d64d,6D,9/2,3d64f,2[5],9/2,
Fe,2,501.10261,0.00013,501.102508,0.000023,90,2.2e+06,-1.18,D+,10.3807526,12.8542909,3d64d,6D,9/2,3d64f,2[3],7/2,
Fe,1,501.1212,0.0005,501.12120,0.00006,60,,,,3.01725044,5.49069652,3d74s,c 3P,2,3d64s4p,w 5F,2,
Fe,3,501.132,,501.132,0.004,:,5.4e-01,,C+,0.091608,2.565000,3d6,5D,2,3d6,a 3P,1,M1
Fe,2,501.1764,0.0002,501.177295,0.000020,40,1.5e+06,-1.47,D+,10.3791615,12.8523307,3d64d,6D,7/2,3d64f,2[2],5/2,
Fe,2,501.1984,0.0003,501.19863,0.00003,40,5.8e+06,-0.88,D+,10.3476866,12.8207506,3d64d,e 6F,3/2,3d64f,2[2],5/2,
Fe,1,501.20681,0.00008,501.20677,0.00004,65000,5.50e+04,-2.642,A,0.85899575,3.33201954,3d74s,a 5F,5,3d64s4p,z 5F,5,
Fe,1,501.21576,0.00008,501.21566,0.00004,740,,,,4.19086081,6.66384071,3d74p,y 5D,2,3d74d,f 3D,3,
Fe,2,501.26944,0.00007,501.26919,0.00004,27,,,,12.7707022,15.2434180,3d64d,4D,5/2,3d64f,2[3],7/2,
Fe,1,501.26944,0.00020,501.26945,0.00004,275,6.5e+05,-1.77,E,4.28330826,6.75602283,3d74p,y 5F,2,3d74d,e 5H,3,
Fe,1,501.49421,0.00008,501.49422,0.00004,12900,2.64e+07,-0.303,C+,3.94332623,6.41493251,3d64s4p,z 3F,3,3d64s 5s,e 3D,2,
Fe,2,501.57520,0.00003,501.57519,0.00003,1200,6.2e+07,-0.03,B+,10.3476866,12.8188939,3d64d,e 6F,3/2,3d64f,2[2],3/2,
Fe,1,501.64787,0.00020,501.64770,0.00004,79,,,,4.25622280,6.72707289,3d74p,y 5F,3,3d74d,g 5F,2,
Fe,2,501.84354,0.00002,501.84358,0.00003,8000,2.0e+06,-1.35,D+,2.89101830,5.36090398,3d54s2,a 6S,5/2,3d64p,z 6P,5/2,
Fe,1,501.97303,0.00020,501.97309,0.00004,123,,,,3.98410712,6.45335558,3d64s4p,z 3F,2,3d64s 5s,g 5D,2,
Fe,2,502.00137,0.00008,502.001397,0.000020,190,3.1e+06,-0.85,D+,10.2880497,12.7571589,3d64d,e 6F,9/2,3d64f,2[6],11/2,
Fe,2,502.0244,,502.02443,0.00003,:,2.08e-01,-8.502,C+,0.38651921,2.85551515,3d7,a 4F,3/2,3d64s,b 4F,3/2,E2
Fe,1,502.08166,0.00020,502.08167,0.00004,135,,,,3.54652001,6.01523448,3d74s,a 1D,2,3d74p,x 3P,1,
Fe,15,,,500.4,0.4,,9.0e-03,-9.77,E,28.9927,31.4697,3s3p,3P,0,3s3p,3P,2,E2
Fe,2,502.15907,0.00002,502.15910,0.00004,1100,2.13e+07,-0.19,B+,10.2880497,12.7563835,3d64d,e 6F,9/2,3d64f,2[4],7/2,
Fe,1,502.1591,0.0005,502.15895,0.00006,1120,6.18e+06,-0.677,D+,4.25622280,6.72455738,3d74p,y 5F,3,3d74d,e 5H,4,
Fe,1,502.16832,0.00020,502.16813,0.00004,174,,,,4.21758325,6.68587270,3d74p,y 5D,1,3d74d,f 5P,1,
